port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,move_typ,terminal_id,berth_id
RUVVO,DEPARTURE,273350980,9038969,2022-01-28T23:57:00Z,departure,NA,NA
RUTUA,DEPARTURE,271000753,9269934,2022-01-28T23:44:00Z,departure,NA,NA
RUPRI,DEPARTURE,248993000,9309435,2022-01-28T23:35:00Z,departure,NA,NA
RUNVS,DEPARTURE,636019889,9408475,2022-01-28T22:47:00Z,departure,NA,NA
RUARH,DEPARTURE,212097000,9384435,2022-01-28T22:13:00Z,departure,NA,NA
RULED,DEPARTURE,212240000,9314818,2022-01-28T20:45:00Z,departure,NA,NA
RUTUA,DEPARTURE,273381530,9766073,2022-01-28T19:57:00Z,departure,NA,NA
RUNVS,DEPARTURE,248900000,9379624,2022-01-28T19:51:00Z,departure,NA,NA
RUTUA,DEPARTURE,538008289,9402809,2022-01-28T19:19:00Z,departure,NA,NA
RUULU,DEPARTURE,248006000,9737383,2022-01-28T18:45:00Z,departure,NA,NA
RUULU,DEPARTURE,238265000,9401128,2022-01-28T16:59:00Z,departure,NA,NA
RUPRI,DEPARTURE,538005407,9696577,2022-01-28T14:49:00Z,departure,NA,NA
RUMMK,DEPARTURE,273430430,9167930,2022-01-28T13:47:00Z,departure,NA,NA
RUNVS,DEPARTURE,538005894,9725598,2022-01-28T11:00:00Z,departure,NA,NA
RUTUA,DEPARTURE,311019400,9389851,2022-01-28T10:40:00Z,departure,NA,NA
NA,DEPARTURE,273216880,9575929,2022-01-28T09:39:00Z,departure,NA,NA
RUTAM,DEPARTURE,636016290,9669914,2022-01-28T08:53:00Z,departure,NA,NA
RUNVS,DEPARTURE,256902000,9717266,2022-01-28T08:39:00Z,departure,NA,NA
RUKOZ,DEPARTURE,413848000,9846005,2022-01-28T07:53:00Z,departure,NA,NA
RUAZO,DEPARTURE,273333670,9645114,2022-01-28T07:39:00Z,departure,NA,NA
RUAZO,DEPARTURE,273350860,9476783,2022-01-28T07:33:00Z,departure,NA,NA
RUVYS,DEPARTURE,311816000,9291262,2022-01-28T04:57:00Z,departure,NA,NA
RUSKA,DEPARTURE,273357270,9035826,2022-01-28T03:27:00Z,departure,NA,NA
RUNVS,DEPARTURE,636016504,9332834,2022-01-28T02:56:00Z,departure,NA,NA
RUSKA,DEPARTURE,477664300,9917402,2022-01-28T02:26:00Z,departure,NA,NA
RUVYP,DEPARTURE,538008412,9403322,2022-01-28T01:45:00Z,departure,NA,NA
RUULU,DEPARTURE,538008784,9302607,2022-01-28T01:15:00Z,departure,NA,NA
RUNVS,DEPARTURE,636017796,9436018,2022-01-28T00:28:00Z,departure,NA,NA
RULED,DEPARTURE,215782000,9288734,2022-01-28T00:27:00Z,departure,NA,NA
RULED,DEPARTURE,241372000,9723291,2022-01-27T22:30:00Z,departure,NA,NA
RULED,DEPARTURE,273426280,9151890,2022-01-27T20:45:00Z,departure,NA,NA
RUNVS,DEPARTURE,273353450,9640516,2022-01-27T20:28:00Z,departure,NA,NA
RUNVS,DEPARTURE,247064200,9242443,2022-01-27T20:02:00Z,departure,NA,NA
RUULU,DEPARTURE,273350170,8821761,2022-01-27T18:06:00Z,departure,NA,NA
RUTUA,DEPARTURE,249852000,9708772,2022-01-27T17:17:00Z,departure,NA,NA
RUPRI,DEPARTURE,636019055,9843572,2022-01-27T17:13:00Z,departure,NA,NA
RUNVS,DEPARTURE,311000820,9823041,2022-01-27T17:11:00Z,departure,NA,NA
NA,DEPARTURE,273212310,9837547,2022-01-27T16:50:00Z,departure,NA,NA
RUYEY,DEPARTURE,273352050,9517082,2022-01-27T16:10:00Z,departure,NA,NA
RUKZP,DEPARTURE,273314050,9376593,2022-01-27T15:29:00Z,departure,NA,NA
RUNVS,DEPARTURE,538004118,9409259,2022-01-27T13:47:00Z,departure,NA,NA
RUULU,DEPARTURE,636017655,9397547,2022-01-27T12:13:00Z,departure,NA,NA
RUNVS,DEPARTURE,538008334,9594133,2022-01-27T12:03:00Z,departure,NA,NA
RUPRI,DEPARTURE,636093012,9352195,2022-01-27T11:47:00Z,departure,NA,NA
RUTAM,DEPARTURE,241735000,9893008,2022-01-27T11:40:00Z,departure,NA,NA
RUULU,DEPARTURE,218292000,9423449,2022-01-27T10:43:00Z,departure,NA,NA
RUTUA,DEPARTURE,273333570,9655468,2022-01-27T10:36:00Z,departure,NA,NA
RUTMR,DEPARTURE,273354450,9640528,2022-01-27T09:11:00Z,departure,NA,NA
RUULU,DEPARTURE,229880000,9443425,2022-01-27T08:45:00Z,departure,NA,NA
RUNVS,DEPARTURE,538008082,9391402,2022-01-27T07:51:00Z,departure,NA,NA
RUVVO,DEPARTURE,273295660,9356610,2022-01-27T07:42:00Z,departure,NA,NA
RUPRI,DEPARTURE,218057000,9380477,2022-01-27T07:08:00Z,departure,NA,NA
RUPKC,DEPARTURE,273419360,9053206,2022-01-27T06:46:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538008231,9297371,2022-01-27T06:32:00Z,departure,NA,NA
RUGDX,DEPARTURE,273213390,9016870,2022-01-27T05:38:00Z,departure,NA,NA
RUAZO,DEPARTURE,273440780,9297199,2022-01-27T03:19:00Z,departure,NA,NA
RUULU,DEPARTURE,257071620,9829784,2022-01-27T02:28:00Z,departure,NA,NA
RUNVS,DEPARTURE,636015767,9337406,2022-01-27T01:55:00Z,departure,NA,NA
RUAZO,DEPARTURE,273342100,8867143,2022-01-27T01:23:00Z,departure,NA,NA
RUPRI,DEPARTURE,249853000,9777943,2022-01-27T00:56:00Z,departure,NA,NA
RUNVS,DEPARTURE,241486000,9761346,2022-01-26T22:47:00Z,departure,NA,NA
RUULU,DEPARTURE,257031550,9817470,2022-01-26T22:06:00Z,departure,NA,NA
RUTUA,DEPARTURE,273381530,9766073,2022-01-26T21:56:00Z,departure,NA,NA
RUTAG,DEPARTURE,273374820,9735141,2022-01-26T18:46:00Z,departure,NA,NA
NA,DEPARTURE,436000032,9323106,2022-01-26T17:46:00Z,departure,NA,NA
RUYEY,DEPARTURE,273315050,9376608,2022-01-26T15:42:00Z,departure,NA,NA
RUYEY,DEPARTURE,423501100,9821471,2022-01-26T15:21:00Z,departure,NA,NA
RUTMR,DEPARTURE,273359390,9645102,2022-01-26T15:13:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538002845,9339985,2022-01-26T14:28:00Z,departure,NA,NA
RUULU,DEPARTURE,636019054,9843560,2022-01-26T12:36:00Z,departure,NA,NA
RUVVO,DEPARTURE,273326750,8906951,2022-01-26T12:26:00Z,departure,NA,NA
RUPRI,DEPARTURE,209294000,9334571,2022-01-26T10:58:00Z,departure,NA,NA
RULOM,DEPARTURE,245911000,9187057,2022-01-26T10:32:00Z,departure,NA,NA
RUNVS,DEPARTURE,538090575,9794056,2022-01-26T10:17:00Z,departure,NA,NA
RUNVS,DEPARTURE,273371330,9418509,2022-01-26T09:41:00Z,departure,NA,NA
RUNJK,DEPARTURE,273430250,9262170,2022-01-26T08:56:00Z,departure,NA,NA
RUNVS,DEPARTURE,538004518,9416551,2022-01-26T08:19:00Z,departure,NA,NA
RUSKA,DEPARTURE,273352560,9327334,2022-01-26T07:21:00Z,departure,NA,NA
RUGDX,DEPARTURE,273218180,9183829,2022-01-26T03:23:00Z,departure,NA,NA
RUPRI,DEPARTURE,257861000,9305556,2022-01-26T03:00:00Z,departure,NA,NA
RUVYS,DEPARTURE,538008324,9347308,2022-01-26T01:55:00Z,departure,NA,NA
RUNVS,DEPARTURE,241322000,9270737,2022-01-26T01:16:00Z,departure,NA,NA
RUNVS,DEPARTURE,538003868,9436020,2022-01-25T23:36:00Z,departure,NA,NA
RUKOZ,DEPARTURE,241487000,9761358,2022-01-25T23:06:00Z,departure,NA,NA
RUVVO,DEPARTURE,636012897,9322968,2022-01-25T22:34:00Z,departure,NA,NA
RUTAM,DEPARTURE,538009247,9891684,2022-01-25T22:17:00Z,departure,NA,NA
RUVVO,DEPARTURE,636012897,9322968,2022-01-25T20:44:00Z,departure,NA,NA
RULED,DEPARTURE,275484000,9169782,2022-01-25T19:35:00Z,departure,NA,NA
RUTAM,DEPARTURE,636012628,9301732,2022-01-25T18:08:00Z,departure,NA,NA
RUVYS,DEPARTURE,636093029,9326897,2022-01-25T15:50:00Z,departure,NA,NA
RUKZP,DEPARTURE,273387430,9637961,2022-01-25T15:46:00Z,departure,NA,NA
RUNVS,DEPARTURE,255806319,9841615,2022-01-25T15:17:00Z,departure,NA,NA
RUNVS,DEPARTURE,273324070,9599341,2022-01-25T14:52:00Z,departure,NA,NA
RUTUA,DEPARTURE,215681000,9241695,2022-01-25T14:09:00Z,departure,NA,NA
RUTUA,DEPARTURE,273352720,9593921,2022-01-25T14:03:00Z,departure,NA,NA
RUNVS,DEPARTURE,273385070,9749130,2022-01-25T13:02:00Z,departure,NA,NA
RUULU,DEPARTURE,636020839,9792864,2022-01-25T13:00:00Z,departure,NA,NA
RUNVS,DEPARTURE,311000953,9897834,2022-01-25T11:13:00Z,departure,NA,NA
RUPRI,DEPARTURE,538005398,9686871,2022-01-25T10:08:00Z,departure,NA,NA
RULED,DEPARTURE,273350170,8821761,2022-01-25T08:58:00Z,departure,NA,NA
RUNVS,DEPARTURE,247382400,9231171,2022-01-25T08:42:00Z,departure,NA,NA
RUAZO,DEPARTURE,273448000,9260483,2022-01-25T06:55:00Z,departure,NA,NA
RUDKA,DEPARTURE,209595000,9301407,2022-01-25T05:53:00Z,departure,NA,NA
RUAZO,DEPARTURE,273445480,9313589,2022-01-25T05:45:00Z,departure,NA,NA
RUPRI,DEPARTURE,538006771,9703320,2022-01-25T05:26:00Z,departure,NA,NA
NA,DEPARTURE,273211370,9539810,2022-01-25T05:18:00Z,departure,NA,NA
RUAZO,DEPARTURE,273433680,9300350,2022-01-25T05:01:00Z,departure,NA,NA
RUAZO,DEPARTURE,273433590,9328663,2022-01-25T04:39:00Z,departure,NA,NA
RUNVS,DEPARTURE,538004508,9446427,2022-01-25T04:24:00Z,departure,NA,NA
RUAZO,DEPARTURE,273352260,9612909,2022-01-25T04:20:00Z,departure,NA,NA
RUGDX,DEPARTURE,273218180,9183829,2022-01-25T03:56:00Z,departure,NA,NA
RUULU,DEPARTURE,311037700,9375575,2022-01-25T03:08:00Z,departure,NA,NA
RUBLT,DEPARTURE,236202000,9261114,2022-01-25T01:17:00Z,departure,NA,NA
RUULU,DEPARTURE,256791000,9435313,2022-01-25T00:57:00Z,departure,NA,NA
RUSTY,DEPARTURE,236202000,9261114,2022-01-24T23:58:00Z,departure,NA,NA
RUNJK,DEPARTURE,354826000,9016935,2022-01-24T23:41:00Z,departure,NA,NA
RUTUA,DEPARTURE,311000493,9305051,2022-01-24T22:30:00Z,departure,NA,NA
RULED,DEPARTURE,246697000,9211535,2022-01-24T21:33:00Z,departure,NA,NA
RUTUA,DEPARTURE,273329070,9599353,2022-01-24T21:33:00Z,departure,NA,NA
RUULU,DEPARTURE,309924000,9325908,2022-01-24T21:20:00Z,departure,NA,NA
RUNVS,DEPARTURE,255806213,9403475,2022-01-24T20:58:00Z,departure,NA,NA
RUNVS,DEPARTURE,273381530,9766073,2022-01-24T18:44:00Z,departure,NA,NA
RUNVS,DEPARTURE,538008329,9411238,2022-01-24T16:29:00Z,departure,NA,NA
RUAZO,DEPARTURE,273359760,9476771,2022-01-24T15:09:00Z,departure,NA,NA
RUAZO,DEPARTURE,273433790,9340881,2022-01-24T14:27:00Z,departure,NA,NA
RUPRI,DEPARTURE,538005404,9691735,2022-01-24T13:32:00Z,departure,NA,NA
RUTUA,DEPARTURE,215870000,9259991,2022-01-24T13:09:00Z,departure,NA,NA
RUULU,DEPARTURE,636020423,9889136,2022-01-24T10:56:00Z,departure,NA,NA
RULED,DEPARTURE,273353180,9645047,2022-01-24T10:51:00Z,departure,NA,NA
RUYEY,DEPARTURE,273331440,9645982,2022-01-24T10:12:00Z,departure,NA,NA
RULED,DEPARTURE,209763000,9247388,2022-01-24T09:58:00Z,departure,NA,NA
RUPRI,DEPARTURE,248020000,9724350,2022-01-24T09:35:00Z,departure,NA,NA
RULED,DEPARTURE,257436000,9407976,2022-01-24T09:18:00Z,departure,NA,NA
RUULU,DEPARTURE,249986000,9765029,2022-01-24T09:09:00Z,departure,NA,NA
RUVVO,DEPARTURE,273326750,8906951,2022-01-24T08:40:00Z,departure,NA,NA
RUVYS,DEPARTURE,212182000,9299862,2022-01-24T07:29:00Z,departure,NA,NA
RUNVS,DEPARTURE,248902000,9379612,2022-01-24T06:00:00Z,departure,NA,NA
RUNVS,DEPARTURE,538005399,9686869,2022-01-24T04:00:00Z,departure,NA,NA
RUPRI,DEPARTURE,211881000,9352303,2022-01-24T03:13:00Z,departure,NA,NA
RUVVO,DEPARTURE,273430250,9262170,2022-01-24T00:47:00Z,departure,NA,NA
RUNJK,DEPARTURE,215487000,9424649,2022-01-24T00:02:00Z,departure,NA,NA
RUNVS,DEPARTURE,241580000,9765366,2022-01-23T22:54:00Z,departure,NA,NA
RULED,DEPARTURE,273337270,9299173,2022-01-23T21:31:00Z,departure,NA,NA
RUULU,DEPARTURE,636016406,9327449,2022-01-23T21:27:00Z,departure,NA,NA
RUVVO,DEPARTURE,273453790,9166314,2022-01-23T20:59:00Z,departure,NA,NA
RUKOZ,DEPARTURE,525107012,9248837,2022-01-23T20:54:00Z,departure,NA,NA
RULED,DEPARTURE,273426280,9151890,2022-01-23T20:07:00Z,departure,NA,NA
RUVVO,DEPARTURE,273350980,9038969,2022-01-23T19:51:00Z,departure,NA,NA
RUNVS,DEPARTURE,273340060,9683740,2022-01-23T17:19:00Z,departure,NA,NA
RUBLT,DEPARTURE,236202000,9261114,2022-01-23T16:56:00Z,departure,NA,NA
RUBLT,DEPARTURE,219279000,9389502,2022-01-23T15:24:00Z,departure,NA,NA
RUKOZ,DEPARTURE,636019634,9398266,2022-01-23T15:20:00Z,departure,NA,NA
RUTUA,DEPARTURE,636093059,9315769,2022-01-23T14:53:00Z,departure,NA,NA
RUPRI,DEPARTURE,636014353,9511387,2022-01-23T14:26:00Z,departure,NA,NA
RUNVS,DEPARTURE,241614000,9787194,2022-01-23T14:01:00Z,departure,NA,NA
RUSTY,DEPARTURE,219279000,9389502,2022-01-23T13:59:00Z,departure,NA,NA
RUNVS,DEPARTURE,240633000,9338917,2022-01-23T12:51:00Z,departure,NA,NA
RUNVS,DEPARTURE,636012896,9322956,2022-01-23T11:29:00Z,departure,NA,NA
RUBLT,DEPARTURE,266273000,9308558,2022-01-23T10:34:00Z,departure,NA,NA
RUMCX,DEPARTURE,273445330,9289001,2022-01-23T10:24:00Z,departure,NA,NA
RUSTY,DEPARTURE,266273000,9308558,2022-01-23T09:18:00Z,departure,NA,NA
RUPRI,DEPARTURE,538009651,9326873,2022-01-23T04:29:00Z,departure,NA,NA
RUROV,DEPARTURE,273433680,9300350,2022-01-23T04:28:00Z,departure,NA,NA
RUNVS,DEPARTURE,538008331,9411226,2022-01-23T04:08:00Z,departure,NA,NA
RUULU,DEPARTURE,538006769,9726592,2022-01-23T00:57:00Z,departure,NA,NA
RUNVS,DEPARTURE,636091700,9420851,2022-01-23T00:33:00Z,departure,NA,NA
RUNVS,DEPARTURE,538008714,9867621,2022-01-23T00:31:00Z,departure,NA,NA
RUPRI,DEPARTURE,249857000,9776755,2022-01-22T23:10:00Z,departure,NA,NA
RUAZO,DEPARTURE,273353720,9598385,2022-01-22T22:42:00Z,departure,NA,NA
RUULU,DEPARTURE,273350170,8821761,2022-01-22T22:33:00Z,departure,NA,NA
RUAZO,DEPARTURE,273380170,9749154,2022-01-22T21:36:00Z,departure,NA,NA
RUVYP,DEPARTURE,273352560,9327334,2022-01-22T20:05:00Z,departure,NA,NA
RULED,DEPARTURE,212240000,9314818,2022-01-22T19:43:00Z,departure,NA,NA
RUAZO,DEPARTURE,273351320,9598359,2022-01-22T18:42:00Z,departure,NA,NA
RUAZO,DEPARTURE,273447030,9268344,2022-01-22T17:59:00Z,departure,NA,NA
RUTUA,DEPARTURE,247384900,9323792,2022-01-22T17:18:00Z,departure,NA,NA
RUROV,DEPARTURE,273353720,9598385,2022-01-22T14:55:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538008675,9299599,2022-01-22T14:49:00Z,departure,NA,NA
RUULU,DEPARTURE,566598000,9729283,2022-01-22T14:10:00Z,departure,NA,NA
RUNVS,DEPARTURE,273350660,9640554,2022-01-22T11:21:00Z,departure,NA,NA
RUNVS,DEPARTURE,229357000,9299496,2022-01-22T11:01:00Z,departure,NA,NA
RUNVS,DEPARTURE,249775000,9717292,2022-01-22T10:12:00Z,departure,NA,NA
RUAZO,DEPARTURE,273433680,9300350,2022-01-22T10:01:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538005006,9440538,2022-01-22T09:49:00Z,departure,NA,NA
RUNVS,DEPARTURE,563136900,9916616,2022-01-22T08:56:00Z,departure,NA,NA
RUTUA,DEPARTURE,247273400,9376854,2022-01-22T08:49:00Z,departure,NA,NA
RUDKA,DEPARTURE,209225000,9301419,2022-01-22T05:10:00Z,departure,NA,NA
RUTMR,DEPARTURE,273357390,9645073,2022-01-22T04:47:00Z,departure,NA,NA
RUPRI,DEPARTURE,636018682,9826720,2022-01-22T01:31:00Z,departure,NA,NA
RUULU,DEPARTURE,636018830,9826897,2022-01-22T00:59:00Z,departure,NA,NA
RUAZO,DEPARTURE,273356390,9645085,2022-01-22T00:31:00Z,departure,NA,NA
RUAZO,DEPARTURE,273353260,9612911,2022-01-22T00:23:00Z,departure,NA,NA
RUAZO,DEPARTURE,273345600,8727939,2022-01-22T00:16:00Z,departure,NA,NA
RUYEY,DEPARTURE,273355800,9540340,2022-01-21T23:24:00Z,departure,NA,NA
RUULU,DEPARTURE,257351000,9288825,2022-01-21T23:10:00Z,departure,NA,NA
RUULU,DEPARTURE,215004000,9326500,2022-01-21T20:21:00Z,departure,NA,NA
RUVYS,DEPARTURE,538007533,9327360,2022-01-21T20:07:00Z,departure,NA,NA
RUMMK,DEPARTURE,273430430,9167930,2022-01-21T19:55:00Z,departure,NA,NA
RUVYP,DEPARTURE,273352560,9327334,2022-01-21T16:39:00Z,departure,NA,NA
RUULU,DEPARTURE,642122020,9331153,2022-01-21T14:45:00Z,departure,NA,NA
RUULU,DEPARTURE,538008322,9353125,2022-01-21T12:44:00Z,departure,NA,NA
RULED,DEPARTURE,241522000,9295335,2022-01-21T12:09:00Z,departure,NA,NA
RULED,DEPARTURE,259936000,9401556,2022-01-21T11:58:00Z,departure,NA,NA
RUVYP,DEPARTURE,354329000,9399868,2022-01-21T11:06:00Z,departure,NA,NA
RUVVO,DEPARTURE,273326750,8906951,2022-01-21T10:59:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538009108,9388730,2022-01-21T10:17:00Z,departure,NA,NA
RUVVO,DEPARTURE,273326750,8906951,2022-01-21T09:43:00Z,departure,NA,NA
RUVYS,DEPARTURE,566579000,9725639,2022-01-21T09:20:00Z,departure,NA,NA
RUPRI,DEPARTURE,259077000,9235892,2022-01-21T05:52:00Z,departure,NA,NA
RUAZO,DEPARTURE,273353720,9598385,2022-01-21T04:41:00Z,departure,NA,NA
RUULU,DEPARTURE,538005244,9314179,2022-01-21T03:39:00Z,departure,NA,NA
RUPRI,DEPARTURE,218085000,9380489,2022-01-21T03:07:00Z,departure,NA,NA
RUNJK,DEPARTURE,273445390,7912044,2022-01-21T01:12:00Z,departure,NA,NA
RULED,DEPARTURE,256791000,9435313,2022-01-21T00:19:00Z,departure,NA,NA
RULOM,DEPARTURE,273358390,9645097,2022-01-21T00:01:00Z,departure,NA,NA
RUVVO,DEPARTURE,273216560,9114751,2022-01-20T23:20:00Z,departure,NA,NA
RUNVS,DEPARTURE,636013296,9316127,2022-01-20T22:53:00Z,departure,NA,NA
RUTUA,DEPARTURE,215034000,9293997,2022-01-20T22:32:00Z,departure,NA,NA
RUPRI,DEPARTURE,249998000,9779953,2022-01-20T22:31:00Z,departure,NA,NA
RUAZO,DEPARTURE,273332530,9435375,2022-01-20T20:50:00Z,departure,NA,NA
RUNVS,DEPARTURE,538008157,9801988,2022-01-20T20:34:00Z,departure,NA,NA
RUNVS,DEPARTURE,636011640,9256054,2022-01-20T20:23:00Z,departure,NA,NA
RUAZO,DEPARTURE,273352320,9598361,2022-01-20T20:01:00Z,departure,NA,NA
RUNVS,DEPARTURE,636012896,9322956,2022-01-20T19:38:00Z,departure,NA,NA
RUTMR,DEPARTURE,273443330,9288980,2022-01-20T19:00:00Z,departure,NA,NA
RUNVS,DEPARTURE,273358180,9621560,2022-01-20T17:58:00Z,departure,NA,NA
RUNVS,DEPARTURE,636091700,9420851,2022-01-20T17:10:00Z,departure,NA,NA
RUTAM,DEPARTURE,636016290,9669914,2022-01-20T16:24:00Z,departure,NA,NA
RUTUA,DEPARTURE,248337000,9384095,2022-01-20T15:09:00Z,departure,NA,NA
RUNVS,DEPARTURE,477591100,9845130,2022-01-20T10:20:00Z,departure,NA,NA
RUTAG,DEPARTURE,273313860,9417050,2022-01-20T09:58:00Z,departure,NA,NA
NA,DEPARTURE,273391160,9759939,2022-01-20T07:01:00Z,departure,NA,NA
RUULU,DEPARTURE,636019071,9829095,2022-01-20T06:14:00Z,departure,NA,NA
RUTMR,DEPARTURE,273331580,9683714,2022-01-20T04:34:00Z,departure,NA,NA
RUAZO,DEPARTURE,273350860,9476783,2022-01-20T04:34:00Z,departure,NA,NA
RUNVS,DEPARTURE,636016017,9607631,2022-01-20T03:28:00Z,departure,NA,NA
RUKOZ,DEPARTURE,636011642,9256078,2022-01-20T02:59:00Z,departure,NA,NA
RUKZP,DEPARTURE,273388150,9804239,2022-01-20T02:59:00Z,departure,NA,NA
RUTAM,DEPARTURE,256392000,9694361,2022-01-20T02:47:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538008893,9346744,2022-01-20T02:13:00Z,departure,NA,NA
RUNVS,DEPARTURE,636013273,9339313,2022-01-20T02:12:00Z,departure,NA,NA
RUPRI,DEPARTURE,636014189,9413547,2022-01-20T00:59:00Z,departure,NA,NA
RUYEY,DEPARTURE,273314050,9376593,2022-01-20T00:21:00Z,departure,NA,NA
RUNVS,DEPARTURE,538007962,9523287,2022-01-20T00:02:00Z,departure,NA,NA
RUULU,DEPARTURE,538007534,9314806,2022-01-19T23:43:00Z,departure,NA,NA
RUAZO,DEPARTURE,273376900,9735139,2022-01-19T19:57:00Z,departure,NA,NA
NA,DEPARTURE,273216880,9575929,2022-01-19T17:40:00Z,departure,NA,NA
RUNVS,DEPARTURE,247430200,9644433,2022-01-19T17:17:00Z,departure,NA,NA
RUVVO,DEPARTURE,538007496,9226009,2022-01-19T16:26:00Z,departure,NA,NA
RUPRI,DEPARTURE,538005408,9696589,2022-01-19T15:06:00Z,departure,NA,NA
RUVVO,DEPARTURE,538007496,9226009,2022-01-19T14:42:00Z,departure,NA,NA
RUVYS,DEPARTURE,636013276,9329655,2022-01-19T13:43:00Z,departure,NA,NA
RUULU,DEPARTURE,538002614,9323314,2022-01-19T13:24:00Z,departure,NA,NA
RUPRI,DEPARTURE,538005397,9686857,2022-01-19T12:54:00Z,departure,NA,NA
RULED,DEPARTURE,273357860,9645009,2022-01-19T11:40:00Z,departure,NA,NA
RUULU,DEPARTURE,538004293,9318022,2022-01-19T09:48:00Z,departure,NA,NA
RULED,DEPARTURE,273353180,9645047,2022-01-19T09:40:00Z,departure,NA,NA
RUNVS,DEPARTURE,273371330,9418509,2022-01-19T08:20:00Z,departure,NA,NA
RUDKA,DEPARTURE,212500000,9301380,2022-01-19T05:48:00Z,departure,NA,NA
RUTMR,DEPARTURE,273387430,9637961,2022-01-19T04:14:00Z,departure,NA,NA
RUVYS,DEPARTURE,664444000,9365623,2022-01-19T03:01:00Z,departure,NA,NA
RUNVS,DEPARTURE,305496000,9306653,2022-01-19T00:36:00Z,departure,NA,NA
RUDKA,DEPARTURE,212500000,9301380,2022-01-18T23:48:00Z,departure,NA,NA
RUAZO,DEPARTURE,273357420,9610262,2022-01-18T18:46:00Z,departure,NA,NA
RUAZO,DEPARTURE,273351260,9612923,2022-01-18T18:18:00Z,departure,NA,NA
RUNVS,DEPARTURE,477252200,9747340,2022-01-18T17:34:00Z,departure,NA,NA
RUAZO,DEPARTURE,273339480,9679373,2022-01-18T17:23:00Z,departure,NA,NA
RUKOZ,DEPARTURE,311000357,9414503,2022-01-18T16:32:00Z,departure,NA,NA
RUPRI,DEPARTURE,248006000,9737383,2022-01-18T16:11:00Z,departure,NA,NA
RUNJK,DEPARTURE,538008583,9877561,2022-01-18T13:53:00Z,departure,NA,NA
RUKOZ,DEPARTURE,356178000,9783930,2022-01-18T13:42:00Z,departure,NA,NA
RUULU,DEPARTURE,636014354,9511521,2022-01-18T12:54:00Z,departure,NA,NA
RULED,DEPARTURE,275484000,9169782,2022-01-18T12:01:00Z,departure,NA,NA
NA,DEPARTURE,436000032,9323106,2022-01-18T11:39:00Z,departure,NA,NA
RUNVS,DEPARTURE,219029080,9701566,2022-01-18T07:41:00Z,departure,NA,NA
RUPRI,DEPARTURE,240597000,9315795,2022-01-18T06:48:00Z,departure,NA,NA
RUSKA,DEPARTURE,273326750,8906951,2022-01-18T04:08:00Z,departure,NA,NA
RUPRI,DEPARTURE,248292000,9728241,2022-01-18T03:44:00Z,departure,NA,NA
RUSEW,DEPARTURE,273454890,9299161,2022-01-18T03:27:00Z,departure,NA,NA
RUYEY,DEPARTURE,273352050,9517082,2022-01-18T02:40:00Z,departure,NA,NA
RUULU,DEPARTURE,247226900,9379337,2022-01-18T02:31:00Z,departure,NA,NA
RUPRI,DEPARTURE,257861000,9305556,2022-01-18T00:30:00Z,departure,NA,NA
RULED,DEPARTURE,249803000,9431032,2022-01-18T00:10:00Z,departure,NA,NA
RULED,DEPARTURE,218057000,9380477,2022-01-17T23:46:00Z,departure,NA,NA
RUULU,DEPARTURE,538007044,9794446,2022-01-17T21:15:00Z,departure,NA,NA
RUPRI,DEPARTURE,538009607,9332626,2022-01-17T16:55:00Z,departure,NA,NA
RUKZP,DEPARTURE,273355910,9560936,2022-01-17T14:01:00Z,departure,NA,NA
RUKZP,DEPARTURE,273384070,9637973,2022-01-17T13:29:00Z,departure,NA,NA
RUNVS,DEPARTURE,241701000,9868168,2022-01-17T13:23:00Z,departure,NA,NA
RUTUA,DEPARTURE,247384900,9323792,2022-01-17T12:55:00Z,departure,NA,NA
RUVYS,DEPARTURE,636012813,9305568,2022-01-17T08:50:00Z,departure,NA,NA
RUNVS,DEPARTURE,247287800,9439383,2022-01-17T08:25:00Z,departure,NA,NA
RUULU,DEPARTURE,636014356,9522324,2022-01-17T08:19:00Z,departure,NA,NA
RUSAB,DEPARTURE,209508000,9804033,2022-01-17T07:10:00Z,departure,NA,NA
RUDKA,DEPARTURE,212500000,9301380,2022-01-17T06:45:00Z,departure,NA,NA
RUNJK,DEPARTURE,525114060,9333187,2022-01-17T05:05:00Z,departure,NA,NA
RUNVS,DEPARTURE,566351000,9431317,2022-01-17T02:49:00Z,departure,NA,NA
RUSKA,DEPARTURE,273352560,9327334,2022-01-17T02:26:00Z,departure,NA,NA
RUNVS,DEPARTURE,311000765,9783631,2022-01-17T01:58:00Z,departure,NA,NA
RUNVS,DEPARTURE,273337080,9655470,2022-01-17T01:00:00Z,departure,NA,NA
RUNVS,DEPARTURE,273356420,9598373,2022-01-16T23:34:00Z,departure,NA,NA
RUVYS,DEPARTURE,255806264,9851713,2022-01-16T22:42:00Z,departure,NA,NA
RUNJK,DEPARTURE,273419360,9053206,2022-01-16T21:23:00Z,departure,NA,NA
RUVVO,DEPARTURE,273350980,9038969,2022-01-16T21:02:00Z,departure,NA,NA
RUNVS,DEPARTURE,636014310,9422445,2022-01-16T20:53:00Z,departure,NA,NA
