port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,move_typ,terminal_id,berth_id
RUGDX,DEPARTURE,273219140,9183817,2022-03-11T01:16:00Z,departure,NA,NA
RUPKC,DEPARTURE,273419360,9053206,2022-03-11T00:30:00Z,departure,NA,NA
RUULU,DEPARTURE,636018830,9826897,2022-03-10T23:30:00Z,departure,NA,NA
RUVVO,DEPARTURE,273218180,9183829,2022-03-10T22:14:00Z,departure,NA,NA
RUPRI,DEPARTURE,636014353,9511387,2022-03-10T21:38:00Z,departure,NA,NA
RUVVO,DEPARTURE,273218180,9183829,2022-03-10T21:13:00Z,departure,NA,NA
RUNVS,DEPARTURE,248417000,9388376,2022-03-10T16:22:00Z,departure,NA,NA
RUNVS,DEPARTURE,240575000,9304605,2022-03-10T13:45:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538009217,9315446,2022-03-10T12:52:00Z,departure,NA,NA
RUPRI,DEPARTURE,218085000,9380489,2022-03-10T10:57:00Z,departure,NA,NA
RULED,DEPARTURE,538005397,9686857,2022-03-10T09:52:00Z,departure,NA,NA
RUDKA,DEPARTURE,212500000,9301380,2022-03-10T09:42:00Z,departure,NA,NA
RUNVS,DEPARTURE,538004118,9409259,2022-03-10T09:11:00Z,departure,NA,NA
RUULU,DEPARTURE,249857000,9776755,2022-03-10T05:05:00Z,departure,NA,NA
RUNVS,DEPARTURE,311000765,9783631,2022-03-10T03:56:00Z,departure,NA,NA
RUSKA,DEPARTURE,273350980,9038969,2022-03-10T02:29:00Z,departure,NA,NA
RUPRI,DEPARTURE,238019000,9796743,2022-03-09T23:24:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538008474,9410894,2022-03-09T22:29:00Z,departure,NA,NA
RUNVS,DEPARTURE,229357000,9299496,2022-03-09T22:08:00Z,departure,NA,NA
RUVYS,DEPARTURE,664444000,9365623,2022-03-09T20:59:00Z,departure,NA,NA
RUNVS,DEPARTURE,636014488,9314894,2022-03-09T20:41:00Z,departure,NA,NA
RULED,DEPARTURE,229883000,9327372,2022-03-09T20:14:00Z,departure,NA,NA
RUPRI,DEPARTURE,538008324,9347308,2022-03-09T20:03:00Z,departure,NA,NA
RULED,DEPARTURE,538009459,9312901,2022-03-09T19:45:00Z,departure,NA,NA
RUULU,DEPARTURE,218292000,9423449,2022-03-09T19:10:00Z,departure,NA,NA
RUNVS,DEPARTURE,249547000,9389083,2022-03-09T18:57:00Z,departure,NA,NA
RULED,DEPARTURE,211422510,9255490,2022-03-09T17:45:00Z,departure,NA,NA
RUTAM,DEPARTURE,419001224,9568196,2022-03-09T17:03:00Z,departure,NA,NA
RUPRI,DEPARTURE,248952000,9332640,2022-03-09T16:29:00Z,departure,NA,NA
RUNVS,DEPARTURE,538008913,9884045,2022-03-09T15:53:00Z,departure,NA,NA
RUNVS,DEPARTURE,538009037,9863429,2022-03-09T13:28:00Z,departure,NA,NA
RUULU,DEPARTURE,636013748,9382798,2022-03-09T11:25:00Z,departure,NA,NA
RUMCX,DEPARTURE,436000162,9334600,2022-03-09T09:34:00Z,departure,NA,NA
RUKOZ,DEPARTURE,636011642,9256078,2022-03-09T05:52:00Z,departure,NA,NA
RUVVO,DEPARTURE,273218180,9183829,2022-03-09T04:40:00Z,departure,NA,NA
RUVVO,DEPARTURE,538007496,9226009,2022-03-09T03:39:00Z,departure,NA,NA
RUVVO,DEPARTURE,538007496,9226009,2022-03-09T02:34:00Z,departure,NA,NA
RUPRI,DEPARTURE,309924000,9325908,2022-03-09T00:37:00Z,departure,NA,NA
RUULU,DEPARTURE,636018688,9826732,2022-03-08T22:50:00Z,departure,NA,NA
RUNVS,DEPARTURE,538006608,9686649,2022-03-08T21:03:00Z,departure,NA,NA
RUNVS,DEPARTURE,357263000,9236975,2022-03-08T19:01:00Z,departure,NA,NA
NA,DEPARTURE,273216480,9492842,2022-03-08T18:27:00Z,departure,NA,NA
RUNVS,DEPARTURE,636020131,9429027,2022-03-08T17:05:00Z,departure,NA,NA
RUPRI,DEPARTURE,538005398,9686871,2022-03-08T16:52:00Z,departure,NA,NA
RUULU,DEPARTURE,249549000,9297553,2022-03-08T16:46:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538002845,9339985,2022-03-08T14:13:00Z,departure,NA,NA
RUPRI,DEPARTURE,240290000,9288708,2022-03-08T14:08:00Z,departure,NA,NA
RUULU,DEPARTURE,248884000,9309423,2022-03-08T12:09:00Z,departure,NA,NA
RUPRI,DEPARTURE,538005401,9686883,2022-03-08T11:19:00Z,departure,NA,NA
RUDKA,DEPARTURE,212500000,9301380,2022-03-08T10:22:00Z,departure,NA,NA
RUTAM,DEPARTURE,374125000,9260263,2022-03-08T09:55:00Z,departure,NA,NA
RUTUA,DEPARTURE,538005983,9735634,2022-03-08T09:36:00Z,departure,NA,NA
RUVVO,DEPARTURE,273350980,9038969,2022-03-08T07:50:00Z,departure,NA,NA
RUNVS,DEPARTURE,565975000,9263203,2022-03-08T06:18:00Z,departure,NA,NA
RUULU,DEPARTURE,538002779,9323405,2022-03-08T04:19:00Z,departure,NA,NA
RUNVS,DEPARTURE,636011640,9256054,2022-03-08T02:12:00Z,departure,NA,NA
RUKOZ,DEPARTURE,412471000,9845996,2022-03-08T01:00:00Z,departure,NA,NA
RULED,DEPARTURE,275484000,9169782,2022-03-07T23:54:00Z,departure,NA,NA
RUTUA,DEPARTURE,248299000,9315783,2022-03-07T23:01:00Z,departure,NA,NA
RUNVS,DEPARTURE,248900000,9379624,2022-03-07T23:00:00Z,departure,NA,NA
RUPRI,DEPARTURE,255806264,9851713,2022-03-07T22:21:00Z,departure,NA,NA
RUULU,DEPARTURE,538006769,9726592,2022-03-07T22:04:00Z,departure,NA,NA
RUULU,DEPARTURE,238265000,9401128,2022-03-07T18:57:00Z,departure,NA,NA
RUPRI,DEPARTURE,636018959,9826902,2022-03-07T16:56:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538008244,9288851,2022-03-07T11:36:00Z,departure,NA,NA
RUTAM,DEPARTURE,636014194,9413573,2022-03-07T10:57:00Z,departure,NA,NA
RUULU,DEPARTURE,249855000,9777931,2022-03-07T10:07:00Z,departure,NA,NA
RUVNN,DEPARTURE,273210220,9236743,2022-03-07T09:22:00Z,departure,NA,NA
