date,United States,Qatar,Australia,Russian Federation,Malaysia,Nigeria,Algeria,Indonesia,Oman,Papua New Guinea,Trinidad and Tobago,United Arab Emirates,Egypt,Brunei,Peru,Norway,Angola,Equatorial Guinea,Belgium,Mozambique,Cameroon,Spain,China,Jamaica,Singapore Republic,Netherlands,Lithuania,Brazil,France,South Korea,Gibraltar,Sweden
2023-01,6738.794775,7395.21205206,6916.42138455,2700.0759378,2516.9417586,995.06434082,1133.54702425,1205.61347625,1050.23670158,692.28415,721.06879391,499.57475,636.55259702,476.08086552,354.037257,458.53520802,342.33628,281.2443026,208.1457,49.95,113.94585,182.76075,79.15905,15.49575,0,11.1528,0,0,4.05945,0,0.4997634,0
2023-02,6427.917226,6361.61936144,6583.41680765,2715.19861842,2416.6329816,1064.77535186,831.87294715,888.97306212,994.89011259,678.65274,693.47813258,250.11191,626.21830452,406.92084381,363.9718872,264.62947826,342.37896,272.0756104,135.44685,151.3782,141.633,152.92935,136.188,43.2135,0,13.2264,0.33795,0,6.075,0,0,0.1485
2023-03,7070.762419,6752.84424374,7136.2564879,2916.42386915,2422.28335036,1318.13673882,944.342078,912.53210421,1075.96408359,771.42839,755.92705207,500.66233,612.78757976,406.76435124,364.9712688,478.89445248,273.92024,222.35144712,232.0749,288.98775,142.3953,168.31845,136.96605,46.48725,114.7995,24.55605,7.2,0,0,1.6371,0,0
2023-04,7560.832994,7023.80881328,6588.01820705,2855.55112482,2121.89389191,1199.59947514,1213.853306,1010.74995342,1057.32438658,608.38351,657.8940199,509.12374,511.4949922,406.76435124,396.8755776,402.37662891,342.37896,142.17869672,158.2839,227.0673,76.01355,94.44375,0,36.666,39.285,17.4384,4.1625,0,0,0.0468,0,0.07425
2023-05,7057.25214,6138.00463164,6639.9723277,2752.05680718,2208.79236987,1211.97405582,1093.7121065,1011.34920345,691.80881297,680.02044,677.45890263,467.5654,350.15031761,340.49274844,271.8001692,132.557524,273.87756,220.9015144,301.05405,227.5911,151.92135,171.4419,19.09823531,55.4355,19.6425,9.00855,16.9335,0,0,0,0,0
2023-06,6419.68318,6564.43569488,6612.7782469,2415.73752802,1934.35228498,1089.31042638,1091.819585,941.49421824,640.44916111,635.03721,686.04286508,454.33349,0,271.17623416,363.8169198,258.30202976,342.37896,272.9263138,223.8858,75.951,141.40215,22.07745,0,40.81275,39.945,16.36245,24.4179,63,3.27375,0,0,0
2023-07,7102.626071,7060.26926458,6561.1945043,2098.58329727,1970.964475,1165.78775588,1040.61374925,1089.47842245,1009.53372707,846.32477,543.22064355,323.37645,68.68746734,406.76435124,305.019216,409.09100754,342.87264,267.12218652,5.1975,227.0673,103.53285,17.325,75.951,18.56745,24.921,11.7387,10.11915,0,3.27375,0,0,0
