date,China,Italy,Netherlands,India,Turkey,South Korea,France,Romania,Poland,United States,Spain,Greece,Lithuania,Bulgaria,Finland,Germany,Japan,Israel,Croatia,United Kingdom,Azerbaijan,Brunei,Sweden,Thailand,United Arab Emirates,Cuba,Malaysia,Singapore Republic,Denmark,Sri Lanka,Australia,Panama,Egypt,Unknown,Brazil,Philippines,Vietnam,Ukraine,Bahamas,Turkmenistan,Portugal,Kazakhstan,Estonia
2021,39269.80575,22602.23873,32067.73047,4525.856172,10490.44955,12100.30567,7919.775324,5855.78107,8150.097582,9563.5534,6706.979239,6550.008815,7695.558001,2764.728183,6629.950964,4965.521747,4606.664928,2848.929145,1971.084874,2594.650912,1571.005395,2145.892734,1530.790678,1209.079235,90.883695,599.019798,837.095033,461.11849,461.1785294,0,53.737775,0,0,143.613911,102.904295,93.905695,93.905695,76.79056,69.412497,32.724468,0,12.042254,6.60348
2022,53166.36437,30169.65843,19552.65822,43853.33415,16755.824,8943.989953,7614.110787,7841.129268,3809.295001,1580.121753,4133.249789,3756.293688,1614.026976,6513.855428,1534.532197,1497.569135,1665.742734,2954.741543,2292.925482,1213.485256,1355.388055,550.130929,326.178177,357.024075,1002.086267,490.487101,245.11705,471.915195,0,387.985321,250.022825,260.70891,196.501084,0,0,0,0,0,0,2.67211,24.170125,0,0
