port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,load_status,port_operation,draught,terminal_id,berth_id
RUAZO,departure,273359760,9476771,2022-01-24T15:09:00Z,partially_laden,load,3.5,NA,NA
RUAZO,departure,273433790,9340881,2022-01-24T14:27:00Z,fully_laden,load,3.6,NA,NA
RUPRI,departure,538005404,9691735,2022-01-24T13:32:00Z,fully_laden,load,11.3,NA,NA
RUTUA,departure,215870000,9259991,2022-01-24T13:09:00Z,partially_laden,none,7.6,NA,NA
RUULU,departure,636020423,9889136,2022-01-24T10:56:00Z,fully_laden,load,13.4,NA,NA
RULED,departure,273353180,9645047,2022-01-24T10:51:00Z,fully_laden,load,4.2,NA,NA
RUYEY,departure,273331440,9645982,2022-01-24T10:12:00Z,fully_laden,load,4.2,NA,NA
RULED,departure,209763000,9247388,2022-01-24T09:58:00Z,fully_laden,load,9.3,NA,NA
RUPRI,departure,248020000,9724350,2022-01-24T09:35:00Z,fully_laden,load,14.4,NA,NA
RULED,departure,257436000,9407976,2022-01-24T09:18:00Z,fully_laden,load,8.9,NA,NA
RUULU,departure,249986000,9765029,2022-01-24T09:09:00Z,fully_laden,load,13.7,NA,NA
RUVVO,departure,273326750,8906951,2022-01-24T08:40:00Z,fully_laden,none,7,NA,NA
RUVYS,departure,212182000,9299862,2022-01-24T07:29:00Z,fully_laden,load,10.3,NA,NA
RUNVS,departure,248902000,9379612,2022-01-24T06:00:00Z,fully_laden,load,13.8,NA,NA
RUNVS,departure,538005399,9686869,2022-01-24T04:00:00Z,fully_laden,load,11.2,NA,NA
RUPRI,departure,211881000,9352303,2022-01-24T03:13:00Z,fully_laden,load,10.1,NA,NA
RUVVO,departure,273430250,9262170,2022-01-24T00:47:00Z,partially_laden,none,6.2,NA,NA
RUNJK,departure,215487000,9424649,2022-01-24T00:02:00Z,fully_laden,load,12.1,NA,NA
RUNVS,departure,241580000,9765366,2022-01-23T22:54:00Z,fully_laden,load,16,NA,NA
RULED,departure,273337270,9299173,2022-01-23T21:31:00Z,fully_laden,load,6.5,NA,NA
RUULU,departure,636016406,9327449,2022-01-23T21:27:00Z,fully_laden,load,11.1,NA,NA
RUVVO,departure,273453790,9166314,2022-01-23T20:59:00Z,partially_laden,load,7,NA,NA
RUKOZ,departure,525107012,9248837,2022-01-23T20:54:00Z,fully_laden,load,13.7,NA,NA
RULED,departure,273426280,9151890,2022-01-23T20:07:00Z,fully_laden,none,7.2,NA,NA
RUVVO,departure,273350980,9038969,2022-01-23T19:51:00Z,fully_laden,load,7.9,NA,NA
RUNVS,departure,273340060,9683740,2022-01-23T17:19:00Z,fully_laden,load,4,NA,NA
RUBLT,departure,236202000,9261114,2022-01-23T16:56:00Z,partially_laden,none,6.5,NA,NA
RUBLT,departure,219279000,9389502,2022-01-23T15:24:00Z,fully_laden,none,9.7,NA,NA
RUKOZ,departure,636019634,9398266,2022-01-23T15:20:00Z,fully_laden,load,14,NA,NA
RUTUA,departure,636093059,9315769,2022-01-23T14:53:00Z,fully_laden,load,10.5,NA,NA
RUPRI,departure,636014353,9511387,2022-01-23T14:26:00Z,fully_laden,load,14.2,NA,NA
RUNVS,departure,241614000,9787194,2022-01-23T14:01:00Z,fully_laden,load,13.7,NA,NA
RUSTY,departure,219279000,9389502,2022-01-23T13:59:00Z,fully_laden,load,9.6,NA,NA
RUNVS,departure,240633000,9338917,2022-01-23T12:51:00Z,fully_laden,load,11.8,NA,NA
RUNVS,departure,636012896,9322956,2022-01-23T11:29:00Z,fully_laden,none,10,NA,NA
RUBLT,departure,266273000,9308558,2022-01-23T10:34:00Z,fully_laden,none,9.2,NA,NA
RUMCX,departure,273445330,9289001,2022-01-23T10:24:00Z,fully_laden,none,3.7,NA,NA
RUSTY,departure,266273000,9308558,2022-01-23T09:18:00Z,fully_laden,load,9.2,NA,NA
RUPRI,departure,538009651,9326873,2022-01-23T04:29:00Z,fully_laden,load,13.7,NA,NA
RUROV,departure,273433680,9300350,2022-01-23T04:28:00Z,partially_laden,none,2.9,NA,NA
RUNVS,departure,538008331,9411226,2022-01-23T04:08:00Z,partially_laden,load,12.1,NA,NA
RUULU,departure,538006769,9726592,2022-01-23T00:57:00Z,fully_laden,load,14.6,NA,NA
RUNVS,departure,636091700,9420851,2022-01-23T00:33:00Z,fully_laden,none,10.9,NA,NA
RUNVS,departure,538008714,9867621,2022-01-23T00:31:00Z,fully_laden,load,13.6,NA,NA
RUPRI,departure,249857000,9776755,2022-01-22T23:10:00Z,fully_laden,load,14.6,NA,NA
RUAZO,departure,273353720,9598385,2022-01-22T22:42:00Z,fully_laden,load,3.8,NA,NA
RUULU,departure,273350170,8821761,2022-01-22T22:33:00Z,partially_laden,none,6.1,NA,NA
RUAZO,departure,273380170,9749154,2022-01-22T21:36:00Z,fully_laden,load,3.9,NA,NA
RUVYP,departure,273352560,9327334,2022-01-22T20:05:00Z,partially_laden,load,6.2,NA,NA
RULED,departure,212240000,9314818,2022-01-22T19:43:00Z,fully_laden,load,11,NA,NA
RUAZO,departure,273351320,9598359,2022-01-22T18:42:00Z,fully_laden,load,3.8,NA,NA
RUAZO,departure,273447030,9268344,2022-01-22T17:59:00Z,fully_laden,load,4.1,NA,NA
RUTUA,departure,247384900,9323792,2022-01-22T17:18:00Z,fully_laden,load,9.1,NA,NA
RUROV,departure,273353720,9598385,2022-01-22T14:55:00Z,partially_laden,none,3.1,NA,NA
RUKOZ,departure,538008675,9299599,2022-01-22T14:49:00Z,fully_laden,load,14.7,NA,NA
RUULU,departure,566598000,9729283,2022-01-22T14:10:00Z,fully_laden,load,10.8,NA,NA
RUNVS,departure,273350660,9640554,2022-01-22T11:21:00Z,fully_laden,load,4.2,NA,NA
RUNVS,departure,229357000,9299496,2022-01-22T11:01:00Z,fully_laden,load,10.2,NA,NA
RUNVS,departure,249775000,9717292,2022-01-22T10:12:00Z,fully_laden,load,10.7,NA,NA
RUAZO,departure,273433680,9300350,2022-01-22T10:01:00Z,partially_laden,none,2.9,NA,NA
RUKOZ,departure,538005006,9440538,2022-01-22T09:49:00Z,fully_laden,load,14,NA,NA
RUNVS,departure,563136900,9916616,2022-01-22T08:56:00Z,fully_laden,load,12.5,NA,NA
RUTUA,departure,247273400,9376854,2022-01-22T08:49:00Z,fully_laden,load,10.8,NA,NA
RUDKA,departure,209225000,9301419,2022-01-22T05:10:00Z,fully_laden,load,14.3,NA,NA
RUTMR,departure,273357390,9645073,2022-01-22T04:47:00Z,fully_laden,load,4.2,NA,NA
RUPRI,departure,636018682,9826720,2022-01-22T01:31:00Z,fully_laden,load,14.3,NA,NA
RUULU,departure,636018830,9826897,2022-01-22T00:59:00Z,fully_laden,load,14.3,NA,NA
RUAZO,departure,273356390,9645085,2022-01-22T00:31:00Z,fully_laden,load,3.8,NA,NA
RUAZO,departure,273353260,9612911,2022-01-22T00:23:00Z,fully_laden,load,4.1,NA,NA
RUAZO,departure,273345600,8727939,2022-01-22T00:16:00Z,fully_laden,load,3.9,NA,NA
RUYEY,departure,273355800,9540340,2022-01-21T23:24:00Z,fully_laden,load,4.1,NA,NA
RUULU,departure,257351000,9288825,2022-01-21T23:10:00Z,fully_laden,load,11.6,NA,NA
RUULU,departure,215004000,9326500,2022-01-21T20:21:00Z,fully_laden,load,11.2,NA,NA
RUVYS,departure,538007533,9327360,2022-01-21T20:07:00Z,fully_laden,load,10.5,NA,NA
RUMMK,departure,273430430,9167930,2022-01-21T19:55:00Z,fully_laden,load,7,NA,NA
RUVYP,departure,273352560,9327334,2022-01-21T16:39:00Z,partially_laden,none,5.5,NA,NA
RUULU,departure,642122020,9331153,2022-01-21T14:45:00Z,fully_laden,load,14.3,NA,NA
RUULU,departure,538008322,9353125,2022-01-21T12:44:00Z,fully_laden,load,10.4,NA,NA
RULED,departure,241522000,9295335,2022-01-21T12:09:00Z,fully_laden,load,10.1,NA,NA
RULED,departure,259936000,9401556,2022-01-21T11:58:00Z,fully_laden,load,8.9,NA,NA
RUVYP,departure,354329000,9399868,2022-01-21T11:06:00Z,fully_laden,load,11.2,NA,NA
RUVVO,departure,273326750,8906951,2022-01-21T10:59:00Z,fully_laden,discharge,7.2,NA,NA
RUKOZ,departure,538009108,9388730,2022-01-21T10:17:00Z,fully_laden,load,14.8,NA,NA
RUVVO,departure,273326750,8906951,2022-01-21T09:43:00Z,fully_laden,load,7.9,NA,NA
RUVYS,departure,566579000,9725639,2022-01-21T09:20:00Z,fully_laden,load,11.9,NA,NA
RUPRI,departure,259077000,9235892,2022-01-21T05:52:00Z,fully_laden,load,15.2,NA,NA
RUAZO,departure,273353720,9598385,2022-01-21T04:41:00Z,partially_laden,none,3.1,NA,NA
RUULU,departure,538005244,9314179,2022-01-21T03:39:00Z,fully_laden,load,13.7,NA,NA
RUPRI,departure,218085000,9380489,2022-01-21T03:07:00Z,fully_laden,load,10.1,NA,NA
RUNJK,departure,273445390,7912044,2022-01-21T01:12:00Z,partially_laden,none,5.8,NA,NA
RULED,departure,256791000,9435313,2022-01-21T00:19:00Z,fully_laden,load,7.1,NA,NA
RULOM,departure,273358390,9645097,2022-01-21T00:01:00Z,fully_laden,load,4.2,NA,NA
RUVVO,departure,273216560,9114751,2022-01-20T23:20:00Z,fully_laden,load,6.8,NA,NA
RUNVS,departure,636013296,9316127,2022-01-20T22:53:00Z,fully_laden,load,15.5,NA,NA
RUTUA,departure,215034000,9293997,2022-01-20T22:32:00Z,fully_laden,load,9.5,NA,NA
RUPRI,departure,249998000,9779953,2022-01-20T22:31:00Z,fully_laden,load,14.3,NA,NA
RUAZO,departure,273332530,9435375,2022-01-20T20:50:00Z,fully_laden,load,4.1,NA,NA
RUNVS,departure,538008157,9801988,2022-01-20T20:34:00Z,fully_laden,load,13.4,NA,NA
RUNVS,departure,636011640,9256054,2022-01-20T20:23:00Z,fully_laden,load,11.8,NA,NA
RUAZO,departure,273352320,9598361,2022-01-20T20:01:00Z,fully_laden,load,3.8,NA,NA
RUNVS,departure,636012896,9322956,2022-01-20T19:38:00Z,fully_laden,load,9.5,NA,NA
RUTMR,departure,273443330,9288980,2022-01-20T19:00:00Z,fully_laden,load,3.7,NA,NA
RUNVS,departure,273358180,9621560,2022-01-20T17:58:00Z,partially_laden,none,3.2,NA,NA
RUNVS,departure,636091700,9420851,2022-01-20T17:10:00Z,fully_laden,load,9.9,NA,NA
RUTAM,departure,636016290,9669914,2022-01-20T16:24:00Z,fully_laden,none,10.7,NA,NA
RUTUA,departure,248337000,9384095,2022-01-20T15:09:00Z,fully_laden,load,10.6,NA,NA
RUNVS,departure,477591100,9845130,2022-01-20T10:20:00Z,fully_laden,load,16.5,NA,NA
RUTAG,departure,273313860,9417050,2022-01-20T09:58:00Z,fully_laden,load,3.8,NA,NA
NA,departure,273391160,9759939,2022-01-20T07:01:00Z,fully_laden,none,8.8,NA,NA
RUULU,departure,636019071,9829095,2022-01-20T06:14:00Z,fully_laden,load,13.6,NA,NA
RUTMR,departure,273331580,9683714,2022-01-20T04:34:00Z,fully_laden,load,4.2,NA,NA
RUAZO,departure,273350860,9476783,2022-01-20T04:34:00Z,fully_laden,load,3.9,NA,NA
RUNVS,departure,636016017,9607631,2022-01-20T03:28:00Z,partially_laden,load,9.4,NA,NA
RUKOZ,departure,636011642,9256078,2022-01-20T02:59:00Z,fully_laden,load,13.6,NA,NA
RUKZP,departure,273388150,9804239,2022-01-20T02:59:00Z,fully_laden,load,4.1,NA,NA
RUTAM,departure,256392000,9694361,2022-01-20T02:47:00Z,fully_laden,load,12.9,NA,NA
RUKOZ,departure,538008893,9346744,2022-01-20T02:13:00Z,fully_laden,load,13.7,NA,NA
RUNVS,departure,636013273,9339313,2022-01-20T02:12:00Z,fully_laden,load,13.3,NA,NA
RUPRI,departure,636014189,9413547,2022-01-20T00:59:00Z,fully_laden,load,14.3,NA,NA
RUYEY,departure,273314050,9376593,2022-01-20T00:21:00Z,fully_laden,load,3.8,NA,NA
RUNVS,departure,538007962,9523287,2022-01-20T00:02:00Z,fully_laden,load,12.8,NA,NA
RUULU,departure,538007534,9314806,2022-01-19T23:43:00Z,fully_laden,load,10.3,NA,NA
RUAZO,departure,273376900,9735139,2022-01-19T19:57:00Z,fully_laden,load,3.6,NA,NA
NA,departure,273216880,9575929,2022-01-19T17:40:00Z,fully_laden,load,6.5,NA,NA
RUNVS,departure,247430200,9644433,2022-01-19T17:17:00Z,fully_laden,load,10.9,NA,NA
RUVVO,departure,538007496,9226009,2022-01-19T16:26:00Z,fully_laden,none,9.1,NA,NA
RUPRI,departure,538005408,9696589,2022-01-19T15:06:00Z,fully_laden,load,11.3,NA,NA
RUVVO,departure,538007496,9226009,2022-01-19T14:42:00Z,fully_laden,load,9.1,NA,NA
RUVYS,departure,636013276,9329655,2022-01-19T13:43:00Z,fully_laden,load,10.1,NA,NA
RUULU,departure,538002614,9323314,2022-01-19T13:24:00Z,fully_laden,load,10.7,NA,NA
RUPRI,departure,538005397,9686857,2022-01-19T12:54:00Z,fully_laden,load,11.2,NA,NA
RULED,departure,273357860,9645009,2022-01-19T11:40:00Z,fully_laden,load,4.1,NA,NA
RUULU,departure,538004293,9318022,2022-01-19T09:48:00Z,fully_laden,load,11.2,NA,NA
RULED,departure,273353180,9645047,2022-01-19T09:40:00Z,fully_laden,load,4.3,NA,NA
RUNVS,departure,273371330,9418509,2022-01-19T08:20:00Z,fully_laden,none,6.8,NA,NA
RUDKA,departure,212500000,9301380,2022-01-19T05:48:00Z,fully_laden,none,14.3,NA,NA
RUTMR,departure,273387430,9637961,2022-01-19T04:14:00Z,fully_laden,load,4.2,NA,NA
RUVYS,departure,664444000,9365623,2022-01-19T03:01:00Z,fully_laden,load,11.6,NA,NA
RUNVS,departure,305496000,9306653,2022-01-19T00:36:00Z,fully_laden,load,11.8,NA,NA
RUDKA,departure,212500000,9301380,2022-01-18T23:48:00Z,fully_laden,load,14.3,NA,NA
RUAZO,departure,273357420,9610262,2022-01-18T18:46:00Z,fully_laden,load,3.8,NA,NA
RUAZO,departure,273351260,9612923,2022-01-18T18:18:00Z,fully_laden,load,4.1,NA,NA
RUNVS,departure,477252200,9747340,2022-01-18T17:34:00Z,fully_laden,load,10.5,NA,NA
RUAZO,departure,273339480,9679373,2022-01-18T17:23:00Z,fully_laden,load,4,NA,NA
RUKOZ,departure,311000357,9414503,2022-01-18T16:32:00Z,fully_laden,load,14.2,NA,NA
RUPRI,departure,248006000,9737383,2022-01-18T16:11:00Z,fully_laden,load,14.4,NA,NA
RUNJK,departure,538008583,9877561,2022-01-18T13:53:00Z,fully_laden,none,11.9,NA,NA
RUKOZ,departure,356178000,9783930,2022-01-18T13:42:00Z,fully_laden,load,14.4,NA,NA
RUULU,departure,636014354,9511521,2022-01-18T12:54:00Z,fully_laden,load,14.4,NA,NA
RULED,departure,275484000,9169782,2022-01-18T12:01:00Z,fully_laden,load,8.9,NA,NA
NA,departure,436000032,9323106,2022-01-18T11:39:00Z,fully_laden,load,6.5,NA,NA
RUNVS,departure,219029080,9701566,2022-01-18T07:41:00Z,fully_laden,load,13.5,NA,NA
RUPRI,departure,240597000,9315795,2022-01-18T06:48:00Z,fully_laden,load,11,NA,NA
RUSKA,departure,273326750,8906951,2022-01-18T04:08:00Z,partially_laden,load,6.5,NA,NA
RUPRI,departure,248292000,9728241,2022-01-18T03:44:00Z,fully_laden,load,14.4,NA,NA
RUSEW,departure,273454890,9299161,2022-01-18T03:27:00Z,partially_laden,none,6,NA,NA
RUYEY,departure,273352050,9517082,2022-01-18T02:40:00Z,fully_laden,load,3.8,NA,NA
RUULU,departure,247226900,9379337,2022-01-18T02:31:00Z,partially_laden,load,9.2,NA,NA
RUPRI,departure,257861000,9305556,2022-01-18T00:30:00Z,fully_laden,load,14.3,NA,NA
RULED,departure,249803000,9431032,2022-01-18T00:10:00Z,fully_laden,load,7.1,NA,NA
RULED,departure,218057000,9380477,2022-01-17T23:46:00Z,fully_laden,load,9.6,NA,NA
RUULU,departure,538007044,9794446,2022-01-17T21:15:00Z,fully_laden,load,11.2,NA,NA
RUPRI,departure,538009607,9332626,2022-01-17T16:55:00Z,fully_laden,load,13.3,NA,NA
RUKZP,departure,273355910,9560936,2022-01-17T14:01:00Z,fully_laden,none,4.5,NA,NA
RUKZP,departure,273384070,9637973,2022-01-17T13:29:00Z,fully_laden,none,4,NA,NA
RUNVS,departure,241701000,9868168,2022-01-17T13:23:00Z,fully_laden,load,15.7,NA,NA
RUTUA,departure,247384900,9323792,2022-01-17T12:55:00Z,partially_laden,none,7,NA,NA
RUVYS,departure,636012813,9305568,2022-01-17T08:50:00Z,fully_laden,load,12.8,NA,NA
RUNVS,departure,247287800,9439383,2022-01-17T08:25:00Z,fully_laden,load,12.5,NA,NA
RUULU,departure,636014356,9522324,2022-01-17T08:19:00Z,fully_laden,load,14.2,NA,NA
RUSAB,departure,209508000,9804033,2022-01-17T07:10:00Z,fully_laden,load,12,NA,NA
RUDKA,departure,212500000,9301380,2022-01-17T06:45:00Z,partially_laden,none,9,NA,NA
RUNJK,departure,525114060,9333187,2022-01-17T05:05:00Z,fully_laden,load,11.7,NA,NA
RUNVS,departure,566351000,9431317,2022-01-17T02:49:00Z,fully_laden,load,11.3,NA,NA
RUSKA,departure,273352560,9327334,2022-01-17T02:26:00Z,partially_laden,none,5.5,NA,NA
RUNVS,departure,311000765,9783631,2022-01-17T01:58:00Z,fully_laden,load,13.8,NA,NA
RUNVS,departure,273337080,9655470,2022-01-17T01:00:00Z,fully_laden,load,4.1,NA,NA
RUNVS,departure,273356420,9598373,2022-01-16T23:34:00Z,fully_laden,load,3.7,NA,NA
RUVYS,departure,255806264,9851713,2022-01-16T22:42:00Z,fully_laden,load,10.2,NA,NA
RUNJK,departure,273419360,9053206,2022-01-16T21:23:00Z,fully_laden,none,8.9,NA,NA
RUVVO,departure,273350980,9038969,2022-01-16T21:02:00Z,fully_laden,none,7.8,NA,NA
RUNVS,departure,636014310,9422445,2022-01-16T20:53:00Z,fully_laden,load,15.7,NA,NA
RUVVO,departure,273350980,9038969,2022-01-16T19:52:00Z,fully_laden,load,7.8,NA,NA
RUTMR,departure,273351450,9640499,2022-01-16T19:42:00Z,fully_laden,load,4.2,NA,NA
NA,departure,273212310,9837547,2022-01-16T19:39:00Z,fully_laden,none,8.8,NA,NA
RUYEY,departure,273452590,9585912,2022-01-16T18:46:00Z,fully_laden,load,4.3,NA,NA
RUTMR,departure,273352260,9612909,2022-01-16T17:32:00Z,fully_laden,load,4.2,NA,NA
RUAZO,departure,273440780,9297199,2022-01-16T16:59:00Z,fully_laden,load,4,NA,NA
RUPRI,departure,538005423,9289776,2022-01-16T15:54:00Z,fully_laden,load,14,NA,NA
RUTMR,departure,273332580,9683726,2022-01-16T15:15:00Z,fully_laden,load,4.2,NA,NA
RUNVS,departure,636093001,9340128,2022-01-16T14:57:00Z,fully_laden,load,11.3,NA,NA
RUTAM,departure,215270000,9381512,2022-01-16T14:52:00Z,fully_laden,load,11,NA,NA
RUULU,departure,636018670,9815604,2022-01-16T13:12:00Z,fully_laden,load,14.7,NA,NA
RUNVS,departure,538005424,9349631,2022-01-16T12:58:00Z,fully_laden,load,11.8,NA,NA
RUPRI,departure,309924000,9325908,2022-01-16T12:55:00Z,fully_laden,load,14,NA,NA
RUKOZ,departure,311000695,9801524,2022-01-16T12:08:00Z,fully_laden,load,13.7,NA,NA
RUNJK,departure,273213390,9016870,2022-01-16T11:49:00Z,partially_laden,none,6.4,NA,NA
RUKOZ,departure,563030600,9810501,2022-01-16T11:26:00Z,fully_laden,load,13.8,NA,NA
RUNVS,departure,273415140,9164512,2022-01-16T11:14:00Z,fully_laden,none,8,NA,NA
RUMCX,departure,273445330,9289001,2022-01-16T08:51:00Z,partially_laden,discharge,3.2,NA,NA
RUMMK,departure,273430430,9167930,2022-01-16T04:50:00Z,fully_laden,none,6.9,NA,NA
RUVYP,departure,273218180,9183829,2022-01-16T04:30:00Z,fully_laden,none,8.3,NA,NA
RUPRI,departure,240290000,9288708,2022-01-16T04:24:00Z,fully_laden,load,14.2,NA,NA
RUULU,departure,636017653,9397535,2022-01-16T03:00:00Z,fully_laden,load,9.9,NA,NA
RUAZO,departure,273353720,9598385,2022-01-16T02:52:00Z,fully_laden,load,3.8,NA,NA
RUAZO,departure,273444390,9300348,2022-01-16T02:38:00Z,fully_laden,load,3.7,NA,NA
RUAZO,departure,273448000,9260483,2022-01-16T01:19:00Z,fully_laden,load,4.1,NA,NA
RUYEY,departure,273331440,9645982,2022-01-16T01:06:00Z,fully_laden,none,4.2,NA,NA
RUULU,departure,309401000,9297890,2022-01-16T00:51:00Z,fully_laden,load,15,NA,NA
RUVVO,departure,273326750,8906951,2022-01-16T00:50:00Z,partially_laden,load,6.9,NA,NA
RULED,departure,241372000,9723291,2022-01-16T00:11:00Z,partially_laden,load,9.7,NA,NA
RUARH,departure,212111000,9384459,2022-01-16T00:11:00Z,fully_laden,load,9.2,NA,NA
RULED,departure,273350170,8821761,2022-01-15T22:57:00Z,fully_laden,none,6.5,NA,NA
RULED,departure,230689000,9797814,2022-01-15T22:29:00Z,fully_laden,load,9.7,NA,NA
RUROV,departure,273351180,9640580,2022-01-15T20:05:00Z,fully_laden,load,4,NA,NA
RUROV,departure,273353720,9598385,2022-01-15T16:51:00Z,partially_laden,none,3.1,NA,NA
RUAZO,departure,273275000,8230845,2022-01-15T16:12:00Z,fully_laden,load,4,NA,NA
RUULU,departure,218019000,9352315,2022-01-15T14:21:00Z,fully_laden,load,9.8,NA,NA
RUPKC,departure,273215560,9140827,2022-01-15T13:33:00Z,fully_laden,none,6.4,NA,NA
RUPRI,departure,538008326,9353137,2022-01-15T11:36:00Z,fully_laden,load,10.9,NA,NA
RUAZO,departure,273333670,9645114,2022-01-15T11:02:00Z,fully_laden,load,3.9,NA,NA
RULED,departure,259769000,9378735,2022-01-15T10:19:00Z,partially_laden,none,7.2,NA,NA
RUKOZ,departure,636017656,9354301,2022-01-15T09:15:00Z,fully_laden,load,14.8,NA,NA
RUULU,departure,258692000,9321677,2022-01-15T09:14:00Z,fully_laden,load,14.1,NA,NA
RUAZO,departure,273431390,9340879,2022-01-15T09:10:00Z,fully_laden,load,3.7,NA,NA
RUNVS,departure,538006270,9664809,2022-01-15T09:08:00Z,fully_laden,load,13.4,NA,NA
RUDUD,departure,273357330,9585273,2022-01-15T08:12:00Z,fully_laden,none,8.8,NA,NA
RUNJK,departure,636015834,9589944,2022-01-15T07:05:00Z,partially_laden,load,11.1,NA,NA
RUKOZ,departure,538008084,9426441,2022-01-15T05:47:00Z,fully_laden,load,14.2,NA,NA
RUBLT,departure,247697000,9148570,2022-01-15T04:30:00Z,partially_laden,none,6,NA,NA
RUVYS,departure,566577000,9725627,2022-01-15T01:50:00Z,fully_laden,load,10.6,NA,NA
RUPRI,departure,249984000,9765017,2022-01-15T00:17:00Z,fully_laden,load,14.5,NA,NA
RUULU,departure,636019054,9843560,2022-01-14T22:45:00Z,fully_laden,load,14.3,NA,NA
RUULU,departure,538002773,9323376,2022-01-14T21:05:00Z,partially_laden,load,9.9,NA,NA
NA,departure,273216480,9492842,2022-01-14T19:55:00Z,fully_laden,load,6.5,NA,NA
RUNVS,departure,241406000,9370850,2022-01-14T18:53:00Z,partially_laden,load,13.7,NA,NA
RUVYS,departure,538005405,9696553,2022-01-14T17:09:00Z,fully_laden,load,10.6,NA,NA
RUNVS,departure,636014310,9422445,2022-01-14T16:45:00Z,partially_laden,load,10.7,NA,NA
RUULU,departure,240198000,9276585,2022-01-14T15:48:00Z,fully_laden,load,13.9,NA,NA
RUSKA,departure,273350980,9038969,2022-01-14T06:30:00Z,fully_laden,none,7.5,NA,NA
RUVVO,departure,273218180,9183829,2022-01-14T03:53:00Z,fully_laden,none,8.2,NA,NA
RUNVS,departure,238233000,9318539,2022-01-14T03:50:00Z,fully_laden,load,14.8,NA,NA
RUPRI,departure,538005404,9691735,2022-01-14T03:42:00Z,fully_laden,load,11.3,NA,NA
RUVNN,departure,273295660,9356610,2022-01-14T03:22:00Z,fully_laden,none,8,NA,NA
RUVVO,departure,273218180,9183829,2022-01-14T02:47:00Z,fully_laden,none,8.2,NA,NA
RUNJK,departure,538008583,9877561,2022-01-14T00:34:00Z,fully_laden,load,11,NA,NA
RUTAM,departure,249747000,9407457,2022-01-13T23:42:00Z,partially_laden,load,10.7,NA,NA
RUULU,departure,636017647,9384306,2022-01-13T22:03:00Z,fully_laden,load,11.3,NA,NA
RUVYS,departure,273350170,8821761,2022-01-13T21:46:00Z,fully_laden,none,6.5,NA,NA
RUPRI,departure,538006771,9703320,2022-01-13T21:42:00Z,fully_laden,load,14.5,NA,NA
RULED,departure,275484000,9169782,2022-01-13T21:28:00Z,fully_laden,load,8.9,NA,NA
RUNVS,departure,241510000,9749518,2022-01-13T21:20:00Z,fully_laden,load,15,NA,NA
RUROV,departure,273333670,9645114,2022-01-13T21:17:00Z,partially_laden,none,3.2,NA,NA
RUARH,departure,273292090,9183831,2022-01-13T18:06:00Z,fully_laden,load,8.3,NA,NA
RUTUA,departure,273333570,9655468,2022-01-13T17:43:00Z,fully_laden,load,4,NA,NA
RUYEY,departure,273315050,9376608,2022-01-13T15:41:00Z,fully_laden,load,3.8,NA,NA
RUPRI,departure,230687000,9892432,2022-01-13T15:28:00Z,fully_laden,load,14,NA,NA
RUNVS,departure,273371330,9418509,2022-01-13T15:13:00Z,fully_laden,none,6.6,NA,NA
RUPRI,departure,636019055,9843572,2022-01-13T14:08:00Z,fully_laden,load,14.3,NA,NA
RUAZO,departure,273433590,9328663,2022-01-13T11:50:00Z,fully_laden,load,3.9,NA,NA
RUTMR,departure,273354450,9640528,2022-01-13T08:53:00Z,fully_laden,load,4.2,NA,NA
RUMCX,departure,434116700,9657454,2022-01-13T07:12:00Z,fully_laden,none,4.4,NA,NA
RUNVS,departure,538005372,9263174,2022-01-13T02:45:00Z,fully_laden,load,10.8,NA,NA
RUAZO,departure,273433790,9340881,2022-01-13T01:06:00Z,fully_laden,load,3.6,NA,NA
RUTUA,departure,273329070,9599353,2022-01-13T01:03:00Z,partially_laden,none,4,NA,NA
RUULU,departure,636018671,9815616,2022-01-13T00:12:00Z,fully_laden,load,14.5,NA,NA
RULED,departure,219337000,9724532,2022-01-12T21:55:00Z,fully_laden,load,10.1,NA,NA
RUULU,departure,538007042,9794422,2022-01-12T21:35:00Z,fully_laden,load,10.9,NA,NA
RUVYS,departure,538005166,9351634,2022-01-12T20:59:00Z,fully_laden,load,12.2,NA,NA
NA,departure,436000393,9323091,2022-01-12T20:51:00Z,fully_laden,load,6.5,NA,NA
RUNVS,departure,566916000,9384992,2022-01-12T17:40:00Z,fully_laden,load,12.3,NA,NA
RUTUA,departure,209660000,9298284,2022-01-12T16:48:00Z,fully_laden,load,13,NA,NA
RUAZO,departure,273359760,9476771,2022-01-12T16:30:00Z,fully_laden,load,3.9,NA,NA
RUAZO,departure,273353720,9598385,2022-01-12T16:19:00Z,partially_laden,none,3.1,NA,NA
RUULU,departure,636020062,9288722,2022-01-12T16:13:00Z,fully_laden,load,14.1,NA,NA
RUNVS,departure,477591400,9831828,2022-01-12T15:57:00Z,fully_laden,load,15.5,NA,NA
RUVYS,departure,220556000,9302126,2022-01-12T15:49:00Z,fully_laden,load,10.4,NA,NA
RUTUA,departure,273353450,9640516,2022-01-12T15:12:00Z,fully_laden,none,4.2,NA,NA
NA,departure,273436640,9171175,2022-01-12T14:42:00Z,partially_laden,none,7.9,NA,NA
RUVYS,departure,273350170,8821761,2022-01-12T14:25:00Z,fully_laden,none,6.4,NA,NA
RUPRI,departure,636018688,9826732,2022-01-12T14:03:00Z,fully_laden,load,14.3,NA,NA
