port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,load_status,port_operation,draught,terminal_id,berth_id
RULED,departure,256791000,9435313,2022-03-11T09:48:00Z,fully_laden,load,7.1,NA,NA
RUKOZ,departure,636017407,9281011,2022-03-11T05:02:00Z,fully_laden,load,13.7,NA,NA
RUULU,departure,229880000,9443425,2022-03-11T02:07:00Z,fully_laden,load,10.4,NA,NA
RUPRI,departure,636020062,9288722,2022-03-11T01:44:00Z,fully_laden,load,14.6,NA,NA
RUNJK,departure,477630900,9747338,2022-03-11T01:41:00Z,fully_laden,load,11.5,NA,NA
RUNVS,departure,311000863,9857858,2022-03-11T01:31:00Z,fully_laden,load,14.2,NA,NA
RUGDX,departure,273219140,9183817,2022-03-11T01:16:00Z,fully_laden,none,8.8,NA,NA
RUPKC,departure,273419360,9053206,2022-03-11T00:30:00Z,partially_laden,discharge,6.2,NA,NA
RUULU,departure,636018830,9826897,2022-03-10T23:30:00Z,fully_laden,load,14.3,NA,NA
RUVVO,departure,273218180,9183829,2022-03-10T22:14:00Z,fully_laden,none,8.8,NA,NA
RUPRI,departure,636014353,9511387,2022-03-10T21:38:00Z,fully_laden,load,14.2,NA,NA
RUVVO,departure,273218180,9183829,2022-03-10T21:13:00Z,fully_laden,load,8.8,NA,NA
RUNVS,departure,248417000,9388376,2022-03-10T16:22:00Z,fully_laden,load,13.2,NA,NA
RUNVS,departure,240575000,9304605,2022-03-10T13:45:00Z,partially_laden,load,11.5,NA,NA
RUKOZ,departure,538009217,9315446,2022-03-10T12:52:00Z,fully_laden,load,14.8,NA,NA
RUPRI,departure,218085000,9380489,2022-03-10T10:57:00Z,fully_laden,load,10.1,NA,NA
RULED,departure,538005397,9686857,2022-03-10T09:52:00Z,fully_laden,load,10.5,NA,NA
RUDKA,departure,212500000,9301380,2022-03-10T09:42:00Z,fully_laden,load,14.3,NA,NA
RUNVS,departure,538004118,9409259,2022-03-10T09:11:00Z,fully_laden,load,13.9,NA,NA
RUULU,departure,249857000,9776755,2022-03-10T05:05:00Z,fully_laden,load,14.8,NA,NA
RUNVS,departure,311000765,9783631,2022-03-10T03:56:00Z,fully_laden,load,13.8,NA,NA
RUSKA,departure,273350980,9038969,2022-03-10T02:29:00Z,partially_laden,load,6.2,NA,NA
RUPRI,departure,238019000,9796743,2022-03-09T23:24:00Z,fully_laden,load,14.4,NA,NA
RUKOZ,departure,538008474,9410894,2022-03-09T22:29:00Z,fully_laden,load,13.8,NA,NA
RUNVS,departure,229357000,9299496,2022-03-09T22:08:00Z,fully_laden,load,10.8,NA,NA
RUVYS,departure,664444000,9365623,2022-03-09T20:59:00Z,fully_laden,load,12.1,NA,NA
RUNVS,departure,636014488,9314894,2022-03-09T20:41:00Z,fully_laden,load,11.1,NA,NA
RULED,departure,229883000,9327372,2022-03-09T20:14:00Z,fully_laden,load,10,NA,NA
RUPRI,departure,538008324,9347308,2022-03-09T20:03:00Z,fully_laden,load,11.1,NA,NA
RULED,departure,538009459,9312901,2022-03-09T19:45:00Z,fully_laden,load,10.9,NA,NA
RUULU,departure,218292000,9423449,2022-03-09T19:10:00Z,fully_laden,load,9.4,NA,NA
RUNVS,departure,249547000,9389083,2022-03-09T18:57:00Z,fully_laden,load,12.5,NA,NA
RULED,departure,211422510,9255490,2022-03-09T17:45:00Z,fully_laden,load,10.9,NA,NA
RUTAM,departure,419001224,9568196,2022-03-09T17:03:00Z,partially_laden,none,11.2,NA,NA
RUPRI,departure,248952000,9332640,2022-03-09T16:29:00Z,fully_laden,load,13.9,NA,NA
RUNVS,departure,538008913,9884045,2022-03-09T15:53:00Z,fully_laden,load,15.4,NA,NA
RUNVS,departure,538009037,9863429,2022-03-09T13:28:00Z,fully_laden,load,13,NA,NA
RUULU,departure,636013748,9382798,2022-03-09T11:25:00Z,fully_laden,load,11.9,NA,NA
RUMCX,departure,436000162,9334600,2022-03-09T09:34:00Z,fully_laden,none,5.5,NA,NA
RUKOZ,departure,636011642,9256078,2022-03-09T05:52:00Z,fully_laden,load,13.6,NA,NA
RUVVO,departure,273218180,9183829,2022-03-09T04:40:00Z,fully_laden,none,7.8,NA,NA
RUVVO,departure,538007496,9226009,2022-03-09T03:39:00Z,fully_laden,none,9.1,NA,NA
