name,imo,country,registration_iso2
RONGCHENG YANDUNJIAO MARINE CO,5942280,Hong Kong (China),HK
LONG YUAN LTD,5646801,Marshall Islands,MH
GTLK MALTA THREE LTD,5946941,Malta,MT
ARCTIC YELLOW LNG SHIPPING LTD,4240859,Hong Kong (China),HK
TC LNG EXPLORER II LLC,4214628,Marshall Islands,MH
MARE APOLLON SHIPPING LTD,6162522,Malta,MT
LIBERTY SHIPHOLDING INC,5717818,Marshall Islands,MH
HUDSON MARITIME CO LTD,6251761,Marshall Islands,MH
OLYMPUS MONS MARINE LTD,5944361,Liberia,LR
MONZA SHIPMANAGERS LTD,6270955,Liberia,LR
BLUE TRADER SHIPPING CO LTD,6221846,Liberia,LR
HARGATE MARINE INC,4126073,Liberia,LR
FPMC 105 MARINE CORP,4166290,Liberia,LR
XIANG CH2 HK INTERNATIONAL,5978019,Hong Kong (China),HK
PORTMANN CO LTD,5777158,South Korea,SK
REA SHIPPING LTD,5996390,Malta,MT
HARPOON LINE SA,5860193,Marshall Islands,MH
BLUE FAITH MARITIME SA - LIB,6053992,Marshall Islands,MH
KITSUNE CORP,6124687,Liberia,LR
GENCO CONSTANTINE LTD,5389767,Hong Kong (China),HK
PACIFIC ANOUK SA,6110263,Panama,PA
OCEAN TRINITY SH NO 34 SA,6249929,Marshall Islands,MH
ARAMIS NAVIGATION INC,4170341,Liberia,LR
OLAMAR NAVEGACION SA,666552,Panama,PA
THOR OWNING CO LTD,5402919,Marshall Islands,MH
GENOA FUND SEA INVESTMENTS INC,6273230,Liberia,LR
LOKI OWNING CO LTD,4143191,Marshall Islands,MH
OASIS SHIPHOLDINGS SA,6081315,Marshall Islands,MH
MISUGA SA,1794929,Panama,PA
ROYAL FORWARD PTE LTD,5919071,Singapore,SG
AMBASSADOR SHIPPING CORP,4105109,Marshall Islands,MH
OCEAN TRANSPORTATION MARITIME,6057624,Panama,PA
HUAYUN HAINAN SHIPPING CO LTD,6264792,China,CN
CAPE VENI SHIPPING CO LTD,4125089,Cyprus,CY
DORIS ENTERPRISE INC,5585441,Marshall Islands,MH
PARADISE SHIPPING,1260796,Malta,MT
ORPHEAS NAVIGATION INC,5362431,Liberia,LR
BARBAROSA OIL CO LTD,5491970,Malta,MT
BOUBOULINA ENE,4109804,Greece,GR
MELTEMI ENE,5225435,Greece,GR
NARCISSUS ENTERPRISES SA,4088484,Liberia,LR
