name,imo,country,registration_iso2
VIERZEHNTE BUTTNER SCHIFFAHRTS,4247992,Germany,DE
MANDARIN SHIPPING LTD,1759717,Malta,MT
STARLET MARITIME LTD,5871374,Liberia,LR
CAUPOLA SHIPPING LTD,5992511,Marshall Islands,MH
HSL HUEY SHIPPING LTD,6079331,Isle of Man,IM
RIVER POINT LLC,5984701,Marshall Islands,MH
NS POINT SHIPPING INC,5415591,Liberia,LR
NISSEN KAIUN/SOUTHERN ROUTE,4118714,Panama,PA
COMPASS SHIPPING 49 CORP LTD,6157283,Marshall Islands,MH
ELFTE BUTTNER SCHIFFAHRTS,4247958,Germany,DE
B ADVANCE SHIPPING CO LTD,5349625,Cyprus,CY
YASH TANKERS LTD,6270062,Liberia,LR
ZUG CONDOR 233 SCHIFFFAHRTS,6223269,Germany,DE
RIVER PARTY LLC,5984692,Marshall Islands,MH
GANDIA SHIPPING INC,5846212,Panama,PA
VALOR MARITIME LTD,5613311,Marshall Islands,MH
SPDBFL NO ONE ONE SIX SHANGHAI,6190542,China,CN
GREAT THASOS LTD,6118652,Marshall Islands,MH
